id_dapil,nama_dapil,kategori,url_dapil
120,9501,PAPUA PEGUNUNGAN,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/9501
121,9601,PAPUA BARAT DAYA,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/9601
122,110001,ACEH 1,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/110001
123,110002,ACEH 2,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/110002
124,110003,ACEH 3,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/110003
125,110004,ACEH 4,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/110004
126,110005,ACEH 5,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/110005
127,110006,ACEH 6,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/110006
128,110007,ACEH 7,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/110007
129,110008,ACEH 8,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/110008
130,110009,ACEH 9,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/110009
131,110010,ACEH 10,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/110010
132,120001,SUMATERA UTARA 1,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/120001
133,120002,SUMATERA UTARA 2,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/120002
134,120003,SUMATERA UTARA 3,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/120003
135,120004,SUMATERA UTARA 4,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/120004
136,120005,SUMATERA UTARA 5,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/120005
137,120006,SUMATERA UTARA 6,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/120006
138,120007,SUMATERA UTARA 7,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/120007
139,120008,SUMATERA UTARA 8,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/120008
140,120009,SUMATERA UTARA 9,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/120009
141,120010,SUMATERA UTARA 10,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/120010
142,120011,SUMATERA UTARA 11,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/120011
143,120012,SUMATERA UTARA 12,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/120012
144,130001,SUMATERA BARAT 1,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/130001
145,130002,SUMATERA BARAT 2,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/130002
146,130003,SUMATERA BARAT 3,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/130003
147,130004,SUMATERA BARAT 4,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/130004
148,130005,SUMATERA BARAT 5,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/130005
149,130006,SUMATERA BARAT 6,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/130006
150,130007,SUMATERA BARAT 7,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/130007
151,130008,SUMATERA BARAT 8,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/130008
152,140001,RIAU 1,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/140001
153,140002,RIAU 2,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/140002
154,140003,RIAU 3,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/140003
155,140004,RIAU 4,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/140004
156,140005,RIAU 5,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/140005
157,140006,RIAU 6,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/140006
158,140007,RIAU 7,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/140007
159,140008,RIAU 8,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/140008
160,150001,JAMBI 1,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/150001
161,150002,JAMBI 2,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/150002
162,150003,JAMBI 3,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/150003
163,150004,JAMBI 4,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/150004
164,150005,JAMBI 5,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/150005
165,150006,JAMBI 6,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/150006
166,160001,SUMATERA SELATAN 1,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/160001
167,160002,SUMATERA SELATAN 2,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/160002
168,160003,SUMATERA SELATAN 3,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/160003
169,160004,SUMATERA SELATAN 4,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/160004
170,160005,SUMATERA SELATAN 5,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/160005
171,160006,SUMATERA SELATAN 6,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/160006
172,160007,SUMATERA SELATAN 7,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/160007
173,160008,SUMATERA SELATAN 8,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/160008
174,160009,SUMATERA SELATAN 9,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/160009
175,160010,SUMATERA SELATAN 10,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/160010
176,170001,BENGKULU 1,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/170001
177,170002,BENGKULU 2,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/170002
178,170003,BENGKULU 3,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/170003
179,170004,BENGKULU 4,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/170004
180,170005,BENGKULU 5,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/170005
181,170006,BENGKULU 6,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/170006
182,170007,BENGKULU 7,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/170007
183,180001,LAMPUNG 1,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/180001
184,180002,LAMPUNG 2,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/180002
185,180003,LAMPUNG 3,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/180003
186,180004,LAMPUNG 4,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/180004
187,180005,LAMPUNG 5,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/180005
188,180006,LAMPUNG 6,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/180006
189,180007,LAMPUNG 7,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/180007
190,180008,LAMPUNG 8,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/180008
191,190001,KEPULAUAN BANGKA BELITUNG 1,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/190001
192,190002,KEPULAUAN BANGKA BELITUNG 2,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/190002
193,190003,KEPULAUAN BANGKA BELITUNG 3,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/190003
194,190004,KEPULAUAN BANGKA BELITUNG 4,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/190004
195,190005,KEPULAUAN BANGKA BELITUNG 5,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/190005
196,190006,KEPULAUAN BANGKA BELITUNG 6,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/190006
197,210001,KEPULAUAN RIAU 1,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/210001
198,210002,KEPULAUAN RIAU 2,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/210002
199,210003,KEPULAUAN RIAU 3,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/210003
200,210004,KEPULAUAN RIAU 4,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/210004
201,210005,KEPULAUAN RIAU 5,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/210005
202,210006,KEPULAUAN RIAU 6,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/210006
203,210007,KEPULAUAN RIAU 7,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/210007
204,310001,DKI JAKARTA 1,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/310001
205,310002,DKI JAKARTA 2,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/310002
206,310003,DKI JAKARTA 3,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/310003
207,310004,DKI JAKARTA 4,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/310004
208,310005,DKI JAKARTA 5,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/310005
209,310006,DKI JAKARTA 6,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/310006
210,310007,DKI JAKARTA 7,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/310007
211,310008,DKI JAKARTA 8,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/310008
212,310009,DKI JAKARTA 9,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/310009
213,310010,DKI JAKARTA 10,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/310010
214,320001,JAWA BARAT 1,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/320001
215,320002,JAWA BARAT 2,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/320002
216,320003,JAWA BARAT 3,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/320003
